Country,Continent
Argentina,South America
Australia,Asia
Belgium,Europe
Brazil,South America
Colombia,South America
Costa Rica,North America
Croatia,Europe
Denmark,Europe
Egypt,Africa
England,Europe
France,Europe
Germany,Europe
Iceland,Europe
Iran,Asia
Japan,Asia
Korea Republic,Asia
Mexico,North America
Morocco,Africa
Nigeria,Africa
Panama,North America
Peru,South America
Poland,Europe
Portugal,Europe
Russia,Europe
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Spain,Europe
Sweden,Europe
Switzerland,Europe
Tunisia,Africa
Uruguay,South America
